Id,SalePrice
1461,133868.83
1462,146340.75
1463,177054.32
1464,180202.0
1465,206753.56
1466,185294.3
1467,166033.64
1468,174601.92
1469,181436.23
1470,114239.84
1471,193301.59
1472,94108.0
1473,93543.0
1474,149135.0
1475,136518.5
1476,392333.52
1477,258937.45
1478,323756.68
1479,306321.92
1480,466407.35
1481,322323.26
1482,208057.8
1483,175989.4
1484,173493.45
1485,169718.25
1486,207937.0
1487,366173.48
1488,251485.37
1489,201830.62
1490,190276.12
1491,188517.3
1492,108831.76
1493,181896.85
1494,292400.19
1495,301034.61
1496,212937.91
1497,186693.2
1498,151766.46333333335
1499,151168.08466666666
1500,150258.19466666668
1501,173919.33
1502,150236.16866666666
1503,299617.81
1504,231381.81
1505,213059.48
1506,174784.65
1507,221741.74
1508,199884.24
1509,159381.35
1510,149391.5
1511,151876.5
1512,154601.34
1513,157873.45
1514,135792.55
1515,170233.23
1516,174319.17
1517,148848.75
1518,136964.64
1519,214900.56
1520,140008.5
1521,145629.25
1522,167698.5
1523,119558.74
1524,126656.57
1525,129239.0
1526,131502.0
1527,94100.61
1528,123336.0
1529,141019.87
1530,157095.5
1531,135998.0
1532,100563.5
1533,137479.84
1534,122131.0
1535,142694.87
1536,108794.0
1537,84875.22
1538,184968.56
1539,228741.17
1540,138740.8
1541,157439.55
1542,133566.88
1543,219884.35
1544,76288.0
1545,98563.04
1546,128190.93
1547,136864.84
1548,130562.89
1549,106338.34
1550,149392.24
1551,114044.9
1552,147134.01
1553,144207.94
1554,113101.18
1555,170038.87
1556,110958.04
1557,118548.55
1558,99388.04
1559,123782.9
1560,152447.77
1561,137294.69
1562,115080.81
1563,120123.5
1564,163888.44
1565,157093.52
1566,190280.59
1567,87351.0
1568,209334.4
1569,137271.38
1570,125661.07
1571,125083.5
1572,130348.34
1573,249429.81
1574,152325.05
1575,193227.0
1576,195785.0
1577,200050.66
1578,152475.17
1579,143018.2666666667
1580,189081.0
1581,140411.0
1582,123172.0
1583,328176.63
1584,238968.21
1585,141124.16666666666
1586,69691.32
1587,106784.48
1588,145619.68
1589,104460.71
1590,132020.0
1591,110828.16
1592,122176.5
1593,116678.9
1594,170158.12
1595,146779.37
1596,247299.11
1597,151188.59
1598,181606.45
1599,200048.08
